mask_id,date,event_description_norm,team_away,team_home,game_key,wager_amount
100897,2025-02-28,Toronto Raptors @ Chicago Bulls,Toronto Raptors,Chicago Bulls,Toronto Raptors @ Chicago Bulls,0
101293,2025-02-28,Toronto Raptors @ Chicago Bulls,Toronto Raptors,Chicago Bulls,Toronto Raptors @ Chicago Bulls,0.009091
100897,2025-02-28,Washington Wizards @ Charlotte Hornets,Washington Wizards,Charlotte Hornets,Washington Wizards @ Charlotte Hornets,0
101293,2025-02-28,Washington Wizards @ Charlotte Hornets,Washington Wizards,Charlotte Hornets,Washington Wizards @ Charlotte Hornets,0
100897,2025-03-01,Brooklyn Nets @ Detroit Pistons,Brooklyn Nets,Detroit Pistons,Brooklyn Nets @ Detroit Pistons,70
100897,2025-03-01,Chicago Bulls @ Indiana Pacers,Chicago Bulls,Indiana Pacers,Chicago Bulls @ Indiana Pacers,0
100897,2025-03-01,Denver Nuggets @ Boston Celtics,Denver Nuggets,Boston Celtics,Denver Nuggets @ Boston Celtics,0
100897,2025-03-01,Golden State Warriors @ Philadelphia 76Ers,Golden State Warriors,Philadelphia 76Ers,Golden State Warriors @ Philadelphia 76Ers,0
100897,2025-03-01,Los Angeles Clippers @ Los Angeles Lakers,Los Angeles Clippers,Los Angeles Lakers,Los Angeles Clippers @ Los Angeles Lakers,0
100897,2025-03-01,Milwaukee Bucks @ Dallas Mavericks,Milwaukee Bucks,Dallas Mavericks,Milwaukee Bucks @ Dallas Mavericks,0
100897,2025-03-01,Minnesota Timberwolves @ Phoenix Suns,Minnesota Timberwolves,Phoenix Suns,Minnesota Timberwolves @ Phoenix Suns,0
100897,2025-03-01,New Orleans Pelicans @ Utah Jazz,New Orleans Pelicans,Utah Jazz,New Orleans Pelicans @ Utah Jazz,0
100897,2025-03-01,New York Knicks @ Miami Heat,New York Knicks,Miami Heat,New York Knicks @ Miami Heat,0
100897,2025-03-01,Oklahoma City Thunder @ San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Oklahoma City Thunder @ San Antonio Spurs,0
100897,2025-03-01,Portland Trail Blazers @ Cleveland Cavaliers,Portland Trail Blazers,Cleveland Cavaliers,Portland Trail Blazers @ Cleveland Cavaliers,0
100897,2025-03-01,Sacramento Kings @ Houston Rockets,Sacramento Kings,Houston Rockets,Sacramento Kings @ Houston Rockets,0
100897,2025-03-01,San Antonio Spurs @ Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs @ Memphis Grizzlies,0
100897,2025-03-01,Toronto Raptors @ Orlando Magic,Toronto Raptors,Orlando Magic,Toronto Raptors @ Orlando Magic,0
100897,2025-03-01,Washington Wizards @ Charlotte Hornets,Washington Wizards,Charlotte Hornets,Washington Wizards @ Charlotte Hornets,0
